,Company,Symbol,Industry,Offer Date,Shares,Offer_Price,1st Day Close,Current Price,Return,SCOOP Rating,latlng
103,MOGU,MOGU,Consumer Goods,12/6/18,4.8,$14.00 ,$14.00 ,$2.68 ,-80.86%,S/O,
104,Medalist Diversified REIT,MDRR,Financials,11/28/18,0.2,$10.00 ,$9.40 ,$4.23 ,-57.70%,S/O,
105,TuanChe Limited,TC,Consumer Goods,11/20/18,2.6,$7.80 ,$7.83 ,$2.48 ,-68.21%,S/O,
106,Bain Capital Specialty Finance,BCSF,Financials,11/15/18,7.5,$20.25 ,$18.00 ,$18.99 ,-6.22%,S/O,
107,Weidai Ltd.,WEI,Financials,11/15/18,4.5,$10.00 ,$10.25 ,$6.15 ,-38.50%,S/O,
108,Vapotherm,VAPO,Health Care,11/14/18,4,$14.00 ,$16.00 ,$9.58 ,-31.57%,S/O,
109,Eton Pharmaceuticals,ETON,Health Care,11/13/18,3.6,$6.00 ,$6.25 ,$6.75 ,12.50%,S/O,
110,CNFinance Holdings Limited,CNF,Financials,11/7/18,6.5,$7.50 ,$7.60 ,$5.45 ,-27.33%,S/O,
111,Axonics Modulation Technologies,AXNX,Health Care,10/31/18,8,$15.00 ,$14.98 ,$30.06 ,100.40%,S/O,
112,Orchard Rx Ltd.,ORTX,Health Care,10/31/18,14.3,$14.00 ,$14.00 ,$13.93 ,-0.50%,S/O,
113,Twist Bioscience,TWST,Health Care,10/31/18,5,$14.00 ,$14.00 ,$25.95 ,85.36%,S/O,
114,Gamida Cell Ltd.,GMDA,Health Care,10/26/18,6.3,$8.00 ,$8.44 ,$4.58 ,-42.75%,S/O,
115,Pintec Technology Holdings,PT,Technology,10/25/18,3.7,$11.88 ,$12.49 ,$1.63 ,-86.28%,S/O,
116,YETI Holdings,YETI,Consumer Goods,10/25/18,16,$18.00 ,$17.00 ,$29.53 ,64.06%,S/O,
117,LogicBio Therapeutics,LOGC,Health Care,10/19/18,7,$10.00 ,$11.50 ,$9.96 ,-0.40%,S/O,
118,Niu Technologies,NIU,Consumer Goods,10/19/18,7,$9.00 ,$8.65 ,$8.07 ,-10.33%,S/O,
119,SolarWinds,SWI,Technology,10/19/18,25,$15.00 ,$15.03 ,$18.45 ,23.00%,S/O,
120,Osmotica Pharmaceuticals plc,OSMT,Health Care,10/18/18,6.7,$7.00 ,$8.15 ,$3.85 ,-45.00%,S/O,
121,PhaseBio Pharmaceuticals,PHAS,Health Care,10/18/18,9.2,$5.00 ,$5.00 ,$3.91 ,-21.80%,S/O,
122,Studio City International Holdings,MSC,Consumer Services,10/18/18,28.8,$12.50 ,$15.50 ,$19.64 ,57.12%,S/O,
123,SI-BONE,SIBN,Health Care,10/17/18,7.2,$15.00 ,$20.06 ,$19.29 ,28.60%,S/O,
124,Anaplan,PLAN,Technology,10/12/18,15.5,$17.00 ,$24.30 ,$49.90 ,193.53%,S/O,
125,Equillium,EQ,Health Care,10/12/18,4.7,$14.00 ,$14.00 ,$3.72 ,-73.43%,S/O,
126,Allogene Therapeutics,ALLO,Health Care,10/11/18,18,$18.00 ,$25.00 ,$29.47 ,63.72%,S/O,
127,Livent,LTHM,Basic Materials,10/11/18,20,$17.00 ,$16.97 ,$6.78 ,-60.12%,S/O,
128,Elastic N.V.,ESTC,Technology,10/5/18,7,$36.00 ,$70.00 ,$86.31 ,139.75%,S/O,
129,Guardant Health,GH,Health Care,10/4/18,12.5,$19.00 ,$32.20 ,$72.32 ,280.63%,S/O,
130,Kodiak Sciences Inc.,KOD,Health Care,10/4/18,9,$10.00 ,$10.16 ,$15.85 ,58.50%,S/O,
131,Upwork,UPWK,Technology,10/3/18,12.5,$15.00 ,$21.18 ,$13.56 ,-9.60%,S/O,
132,CooTek (Cayman) Inc.,CTK,Technology,9/28/18,4.4,$12.00 ,$9.44 ,$4.97 ,-58.58%,S/O,
133,Arvinas,ARVN,Health Care,9/27/18,7.5,$16.00 ,$16.05 ,$23.67 ,47.94%,S/O,
134,LAIX Inc.,LAIX,Consumer Services,9/27/18,5.8,$12.50 ,$12.65 ,$4.47 ,-64.24%,S/O,
135,Ra Medical Systems,RMED,Health Care,9/27/18,3.9,$17.00 ,$20.00 ,$1.36 ,-92.00%,S/O,
136,Urovant Sciences,UROV,Health Care,9/27/18,10,$14.00 ,$11.65 ,$9.95 ,-28.93%,S/O,
137,Arco Platform Ltd.,ARCE,Consumer Services,9/26/18,11.1,$17.50 ,$23.50 ,$47.60 ,172.00%,S/O,
138,Capital Bancorp,CBNK,Financials,9/26/18,2.2,$12.50 ,$12.80 ,$14.05 ,12.40%,S/O,
139,Entasis Therapeutics Holdings,ETTX,Health Care,9/26/18,5,$15.00 ,$10.66 ,$6.56 ,-56.27%,S/O,
140,SVMK (SurveyMonkey),SVMK,Technology,9/26/18,12,$12.00 ,$17.24 ,$17.55 ,46.25%,S/O,
141,"Viomi Technology Co., Ltd.",VIOT,Consumer Goods,9/25/18,11.4,$9.00 ,$9.08 ,$8.26 ,-8.22%,S/O,
